invoice_id,vendor,amount,date,true_label,vendor_mean,vendor_std,amount_zscore,amount_ratio,invoice_gap_days,vendor_frequency,split_cluster_flag,window_invoice_count,window_vendor_count,cluster_amount_ratio,co_occurrence_score,entropy_score,vendor_degree,cluster_size
C_74,V1,98847.26,2024-01-01 00:00:00,1,86403.7311111111,33948.99747755859,0.36652517859873873,1.1440028656867014,,162,1,103,30,1.1608353568691023,87,4.45196809005913,18,40
C_55,V2,86915.03,2024-01-01 00:00:00,1,89201.08671052632,40922.37405936534,-0.05586188243447518,0.9743609505689239,0.0,152,1,103,30,1.1608353568691023,87,4.45196809005913,20,40
A_242,V2,165346.83,2024-01-01 00:00:00,0,89201.08671052632,40922.37405936534,1.8606907431194,1.8536206505636397,,152,1,103,30,1.1608353568691023,87,4.45196809005913,20,40
A_270,V5,48092.59,2024-01-01 00:00:00,0,144407.3437244898,59983.82205994232,-1.605652070256094,0.33303193402559683,,196,1,103,30,1.1608353568691023,87,4.45196809005913,3,40
C_651,V5,165732.44,2024-01-01 00:00:00,1,144407.3437244898,59983.82205994232,0.35550820262832855,1.147665264523728,0.0,196,1,103,30,1.1608353568691023,87,4.45196809005913,3,40
C_478,V5,170342.89,2024-01-01 00:00:00,1,144407.3437244898,59983.82205994232,0.43236847897278163,1.1795917438468069,0.0,196,1,103,30,1.1608353568691023,87,4.45196809005913,3,40
D_509,V17,117715.9,2024-01-01 00:00:00,0,105661.17514285714,95526.67662806554,0.1261909143260921,1.1140779549620856,,105,1,103,30,1.1608353568691023,87,4.45196809005913,24,40
C_355,V6,178414.36,2024-01-01 00:00:00,1,144506.03180487806,76560.92735485801,0.44288759918437937,1.2346413719223408,,205,1,103,30,1.1608353568691023,87,4.45196809005913,9,40
C_1076,V6,197301.66,2024-01-01 00:00:00,1,144506.03180487806,76560.92735485801,0.6895807096184857,1.3653429700667326,0.0,205,1,103,30,1.1608353568691023,87,4.45196809005913,9,40
C_1081,V7,167199.81,2024-01-01 00:00:00,1,144842.31624309393,63932.34127505827,0.34970006746117294,1.1543495021847239,,181,1,103,30,1.1608353568691023,87,4.45196809005913,3,40
C_449,V7,184204.44,2024-01-01 00:00:00,1,144842.31624309393,63932.34127505827,0.615674434839245,1.2717496725278326,0.0,181,1,103,30,1.1608353568691023,87,4.45196809005913,3,40
C_908,V8,254605.85,2024-01-01 00:00:00,1,179937.1240782123,101867.69807590247,0.7329898912240143,1.414963345340493,,179,1,103,30,1.1608353568691023,87,4.45196809005913,4,40
C_1022,V8,238950.7,2024-01-01 00:00:00,1,179937.1240782123,101867.69807590247,0.5793102006449187,1.3279603820707677,0.0,179,1,103,30,1.1608353568691023,87,4.45196809005913,4,40
C_256,V11,256866.37,2024-01-01 00:00:00,1,182570.8592121212,102941.535881061,0.721718288285799,1.4069329802987858,0.0,165,1,103,30,1.1608353568691023,87,4.45196809005913,4,40
C_159,V11,268701.48,2024-01-01 00:00:00,1,182570.8592121212,102941.535881061,0.8366864100510738,1.4717573735600131,0.0,165,1,103,30,1.1608353568691023,87,4.45196809005913,4,40
C_704,V11,258617.34,2024-01-01 00:00:00,1,182570.8592121212,102941.535881061,0.7387274865245432,1.4165235601809,,165,1,103,30,1.1608353568691023,87,4.45196809005913,4,40
D_198,V20,15376.48,2024-01-01 00:00:00,0,84574.58505376344,95035.94061676953,-0.7281179781744074,0.18180755108256597,,93,1,103,30,1.1608353568691023,87,4.45196809005913,26,40
D_441,V33,27770.73,2024-01-01 00:00:00,0,88242.64793103449,64151.09930319075,-0.942633500506924,0.3147051448020803,,58,1,103,30,1.1608353568691023,87,4.45196809005913,32,40
A_1272,V5,99465.59,2024-01-01 00:00:00,0,144407.3437244898,59983.82205994232,-0.7492187553641467,0.6887800762382951,0.0,196,1,103,30,1.1608353568691023,87,4.45196809005913,3,40
C_999,V10,266528.57,2024-01-01 00:00:00,1,184110.51882978724,99924.56226640988,0.8247944700123816,1.4476474459287259,,188,1,103,30,1.1608353568691023,87,4.45196809005913,4,40
C_177,V3,95036.81,2024-01-01 00:00:00,1,83925.30547297298,30830.50022220062,0.3603945460631863,1.1323840536577052,0.0,148,1,103,30,1.1608353568691023,87,4.45196809005913,16,40
C_1057,V1,86558.21,2024-01-01 00:00:00,1,86403.7311111111,33948.99747755859,0.0045501885233132705,1.001776278762925,0.0,162,1,103,30,1.1608353568691023,87,4.45196809005913,18,40
A_1485,V27,45944.68,2024-01-01 00:00:00,0,83207.86098360656,89047.01535564796,-0.41846166739125534,0.5521609051835455,,61,1,103,30,1.1608353568691023,87,4.45196809005913,28,40
C_1017,V3,107950.3,2024-01-01 00:00:00,1,83925.30547297298,30830.50022220062,0.7792353389838461,1.286251067429193,,148,1,103,30,1.1608353568691023,87,4.45196809005913,16,40
C_52,V4,107639.52,2024-01-02 00:00:00,1,81228.63022988506,33321.06049362434,0.7925947369061482,1.3251263079171143,0.0,174,1,97,26,1.1645720069199168,85,4.3824021819656425,16,40
D_772,V29,40262.04,2024-01-02 00:00:00,0,74548.44014492753,60050.95281301047,-0.5709456318879151,0.5400716614602168,0.0,69,1,97,26,1.1645720069199168,85,4.3824021819656425,30,40
C_591,V10,244028.66,2024-01-02 00:00:00,1,184110.51882978724,99924.56226640988,0.5996277610174062,1.3254393942923621,1.0,188,1,97,26,1.1645720069199168,85,4.3824021819656425,4,40
A_100,V29,155549.7,2024-01-02 00:00:00,0,74548.44014492753,60050.95281301047,1.3488530524110327,2.086530759957476,,69,1,97,26,1.1645720069199168,85,4.3824021819656425,30,40
A_1121,V5,66444.72,2024-01-02 00:00:00,0,144407.3437244898,59983.82205994232,-1.2997058430311321,0.46011690381801557,1.0,196,1,97,26,1.1645720069199168,85,4.3824021819656425,3,40
C_168,V5,199687.37,2024-01-02 00:00:00,1,144407.3437244898,59983.82205994232,0.9215668960436249,1.3827966227559163,0.0,196,1,97,26,1.1645720069199168,85,4.3824021819656425,3,40
C_264,V6,160517.6,2024-01-02 00:00:00,1,144506.03180487806,76560.92735485801,0.20913225082369846,1.1107943883086628,0.0,205,1,97,26,1.1645720069199168,85,4.3824021819656425,9,40
C_644,V7,180221.83,2024-01-02 00:00:00,1,144842.31624309393,63932.34127505827,0.5533812726085121,1.244253685116747,1.0,181,1,97,26,1.1645720069199168,85,4.3824021819656425,3,40
C_380,V7,185978.23,2024-01-02 00:00:00,1,144842.31624309393,63932.34127505827,0.6434188005273871,1.2839959400533774,0.0,181,1,97,26,1.1645720069199168,85,4.3824021819656425,3,40
A_1030,V14,24675.39,2024-01-02 00:00:00,0,101404.49841584158,100941.99680096707,-0.7601231471969384,0.2433338466402647,,101,1,97,26,1.1645720069199168,85,4.3824021819656425,21,40
C_524,V9,243684.77,2024-01-02 00:00:00,1,188269.0858278146,100038.44686257221,0.5539383304299146,1.2943361072393933,,151,1,97,26,1.1645720069199168,85,4.3824021819656425,4,40
C_790,V11,239533.46,2024-01-02 00:00:00,1,182570.8592121212,102941.535881061,0.5533436717907643,1.311995512526922,0.0,165,1,97,26,1.1645720069199168,85,4.3824021819656425,4,40
C_86,V11,239221.14,2024-01-02 00:00:00,1,182570.8592121212,102941.535881061,0.550309746141596,1.310284843635518,1.0,165,1,97,26,1.1645720069199168,85,4.3824021819656425,4,40
C_65,V1,97800.09,2024-01-02 00:00:00,1,86403.7311111111,33948.99747755859,0.3356806991347213,1.1318835061732346,0.0,162,1,97,26,1.1645720069199168,85,4.3824021819656425,18,40
C_320,V1,95198.11,2024-01-02 00:00:00,1,86403.7311111111,33948.99747755859,0.25903916177614156,1.1017696458956763,1.0,162,1,97,26,1.1645720069199168,85,4.3824021819656425,18,40
C_528,V10,271914.52,2024-01-02 00:00:00,1,184110.51882978724,99924.56226640988,0.8786940916691567,1.4769011831974916,0.0,188,1,97,26,1.1645720069199168,85,4.3824021819656425,4,40
C_791,V10,270823.71,2024-01-02 00:00:00,1,184110.51882978724,99924.56226640988,0.8677778658780843,1.4709764588405736,0.0,188,1,97,26,1.1645720069199168,85,4.3824021819656425,4,40
C_137,V6,167916.32,2024-01-02 00:00:00,1,144506.03180487806,76560.92735485801,0.30576931647262817,1.161994111308926,0.0,205,1,97,26,1.1645720069199168,85,4.3824021819656425,9,40
C_725,V4,93399.45,2024-01-02 00:00:00,1,81228.63022988506,33321.06049362434,0.3652481146069473,1.1498199577626238,0.0,174,1,97,26,1.1645720069199168,85,4.3824021819656425,16,40
A_23,V6,78632.8,2024-01-02 00:00:00,0,144506.03180487806,76560.92735485801,-0.8603915037243152,0.5441451465571215,1.0,205,1,97,26,1.1645720069199168,85,4.3824021819656425,9,40
C_995,V4,78728.48,2024-01-02 00:00:00,1,81228.63022988506,33321.06049362434,-0.07502988089117218,0.9692088930750189,,174,1,97,26,1.1645720069199168,85,4.3824021819656425,16,40
A_764,V21,71537.31,2024-01-02 00:00:00,0,99317.54854545454,98935.44463436803,-0.28078872904842983,0.7202814685442159,,110,1,97,26,1.1645720069199168,85,4.3824021819656425,23,40
C_554,V3,102014.32,2024-01-02 00:00:00,1,83925.30547297298,30830.50022220062,0.5867056223881639,1.2155225876450855,0.0,148,1,97,26,1.1645720069199168,85,4.3824021819656425,16,40
D_162,V37,43856.64,2024-01-02 00:00:00,0,72052.50544117647,51928.02541711314,-0.5429692780616785,0.6086676801006438,,68,1,97,26,1.1645720069199168,85,4.3824021819656425,25,40
C_1198,V3,94789.91,2024-01-02 00:00:00,1,83925.30547297298,30830.50022220062,0.3523865023993814,1.129442186997323,1.0,148,1,97,26,1.1645720069199168,85,4.3824021819656425,16,40
C_192,V4,90367.01,2024-01-02 00:00:00,1,81228.63022988506,33321.06049362434,0.2742441384098507,1.1124882600629298,0.0,174,1,97,26,1.1645720069199168,85,4.3824021819656425,16,40
D_125,V38,47064.35,2024-01-02 00:00:00,0,71190.65382978723,52355.46745943829,-0.460808473155268,0.6610936460687734,,47,1,97,26,1.1645720069199168,85,4.3824021819656425,25,40
C_427,V1,93093.83,2024-01-03 00:00:00,1,86403.7311111111,33948.99747755859,0.19705741932119858,1.0774158868718327,0.0,162,1,90,28,1.1491452704430611,76,4.295589673478974,18,40
